ID,space_group
1000000,14
1000002,14
1000003,14
1000004,2
1000005,14
1000006,19
1000007,15
1000008,15
1000009,15
1000010,15
1000011,15
1000012,15
1000013,15
1000014,15
1000015,15
1000016,15
1000018,2
1000019,14
1000020,14
1000021,14
1000022,62
1000023,2
1000024,36
1000027,63
1000028,218
1000029,159
1000030,47
1000031,65
1000033,62
1000034,2
1000035,15
1000036,9
1000037,62
1000038,12
1000039,205
1000040,46
1000042,15
1000046,12
1000047,61
1000048,113
1000049,194
1000052,155
1000056,74
1000060,63
1000061,14
1000064,62
1000066,47
1000067,60
1000068,113
1000069,113
1000070,161
1000071,71
1000072,2
1000073,68
1000074,68
1000075,129
1000076,86
1000077,63
1000078,63
1000079,61
1000080,61
1000081,61
1000082,5
1000083,14
1000084,14
1000085,63
1000086,227
1000087,227
1000088,14
1000089,14
1000090,60
1000091,87
1000092,12
1000093,59
1000094,2
1000095,62
1000096,203
1000097,62
1000098,33
1000099,61
1000100,189
1000101,14
1000102,14
1000103,20
1000104,30
1000105,14
1000106,120
1000107,62
1000108,62
1000109,55
1000110,129
1000111,12
1000112,62
1000113,29
1000114,164
1000115,186
1000116,12
1000117,12
1000118,15
1000119,15
1000120,15
1000121,15
1000122,14
1000123,91
1000124,2
1000125,127
1000126,127
1000127,127
1000128,14
1000129,19
1000130,14
1000131,4
1000132,15
1000133,61
1000134,176
1000135,18
1000136,19
1000137,12
1000138,12
1000139,11
1000140,4
1000141,52
1000142,52
1000143,14
1000144,15
1000145,8
1000146,11
1000147,11
1000148,14
1000149,14
1000150,62
1000151,62
1000152,62
1000153,62
1000154,62
1000155,186
1000156,186
1000157,150
1000158,15
1000159,15
1000160,15
1000161,62
1000162,32
1000163,227
1000164,166
1000165,166
1000166,127
1000167,136
1000168,12
1000169,227
1000170,227
1000171,227
1000172,227
1000173,227
1000174,62
1000175,120
1000176,230
1000177,230
1000178,136
1000180,62
1000181,108
1000182,140
1000183,135
1000184,150
1000185,150
1000186,150
1000187,63
1000188,30
1000190,204
1000191,13
1000192,13
1000193,12
1000194,28
