row,id,space_group,crystal_system,crystal_system_id
0,1000000,14,Monoclinic,1
1,1000002,14,Monoclinic,1
2,1000003,14,Monoclinic,1
3,1000004,2,Triclinic,0
4,1000005,14,Monoclinic,1
5,1000006,19,Orthorhombic,2
6,1000007,15,Monoclinic,1
7,1000008,15,Monoclinic,1
8,1000009,15,Monoclinic,1
9,1000010,15,Monoclinic,1
10,1000011,15,Monoclinic,1
11,1000012,15,Monoclinic,1
12,1000013,15,Monoclinic,1
13,1000014,15,Monoclinic,1
14,1000015,15,Monoclinic,1
15,1000016,15,Monoclinic,1
16,1000018,2,Triclinic,0
17,1000019,14,Monoclinic,1
18,1000020,14,Monoclinic,1
19,1000021,14,Monoclinic,1
20,1000022,62,Orthorhombic,2
21,1000023,2,Triclinic,0
22,1000024,36,Orthorhombic,2
23,1000027,63,Orthorhombic,2
24,1000028,218,Cubic,6
25,1000029,159,Trigonal,4
26,1000030,47,Orthorhombic,2
27,1000031,65,Orthorhombic,2
28,1000033,62,Orthorhombic,2
29,1000034,2,Triclinic,0
30,1000035,15,Monoclinic,1
31,1000036,9,Monoclinic,1
32,1000037,62,Orthorhombic,2
33,1000038,12,Monoclinic,1
34,1000039,205,Cubic,6
35,1000040,46,Orthorhombic,2
36,1000042,15,Monoclinic,1
37,1000046,12,Monoclinic,1
38,1000047,61,Orthorhombic,2
39,1000048,113,Tetragonal,3
40,1000049,194,Hexagonal,5
41,1000052,155,Trigonal,4
42,1000056,74,Orthorhombic,2
43,1000060,63,Orthorhombic,2
44,1000061,14,Monoclinic,1
45,1000064,62,Orthorhombic,2
46,1000066,47,Orthorhombic,2
47,1000067,60,Orthorhombic,2
48,1000068,113,Tetragonal,3
49,1000069,113,Tetragonal,3
50,1000070,161,Trigonal,4
51,1000071,71,Orthorhombic,2
52,1000072,2,Triclinic,0
53,1000073,68,Orthorhombic,2
54,1000074,68,Orthorhombic,2
55,1000075,129,Tetragonal,3
56,1000076,86,Tetragonal,3
57,1000077,63,Orthorhombic,2
58,1000078,63,Orthorhombic,2
59,1000079,61,Orthorhombic,2
60,1000080,61,Orthorhombic,2
61,1000081,61,Orthorhombic,2
62,1000082,5,Monoclinic,1
63,1000083,14,Monoclinic,1
64,1000084,14,Monoclinic,1
65,1000085,63,Orthorhombic,2
66,1000086,227,Cubic,6
67,1000087,227,Cubic,6
68,1000088,14,Monoclinic,1
69,1000089,14,Monoclinic,1
70,1000090,60,Orthorhombic,2
71,1000091,87,Tetragonal,3
72,1000092,12,Monoclinic,1
73,1000093,59,Orthorhombic,2
74,1000094,2,Triclinic,0
75,1000095,62,Orthorhombic,2
76,1000096,203,Cubic,6
77,1000097,62,Orthorhombic,2
78,1000098,33,Orthorhombic,2
79,1000099,61,Orthorhombic,2
80,1000100,189,Hexagonal,5
81,1000101,14,Monoclinic,1
82,1000102,14,Monoclinic,1
83,1000103,20,Orthorhombic,2
84,1000104,30,Orthorhombic,2
85,1000105,14,Monoclinic,1
86,1000106,120,Tetragonal,3
87,1000107,62,Orthorhombic,2
88,1000108,62,Orthorhombic,2
89,1000109,55,Orthorhombic,2
90,1000110,129,Tetragonal,3
91,1000111,12,Monoclinic,1
92,1000112,62,Orthorhombic,2
93,1000113,29,Orthorhombic,2
94,1000114,164,Trigonal,4
95,1000115,186,Hexagonal,5
96,1000116,12,Monoclinic,1
97,1000117,12,Monoclinic,1
98,1000118,15,Monoclinic,1
99,1000119,15,Monoclinic,1
100,1000120,15,Monoclinic,1
101,1000121,15,Monoclinic,1
102,1000122,14,Monoclinic,1
103,1000123,91,Tetragonal,3
104,1000124,2,Triclinic,0
105,1000125,127,Tetragonal,3
106,1000126,127,Tetragonal,3
107,1000127,127,Tetragonal,3
108,1000128,14,Monoclinic,1
109,1000129,19,Orthorhombic,2
110,1000130,14,Monoclinic,1
111,1000131,4,Monoclinic,1
112,1000132,15,Monoclinic,1
113,1000133,61,Orthorhombic,2
114,1000134,176,Hexagonal,5
115,1000135,18,Orthorhombic,2
116,1000136,19,Orthorhombic,2
117,1000137,12,Monoclinic,1
118,1000138,12,Monoclinic,1
119,1000139,11,Monoclinic,1
120,1000140,4,Monoclinic,1
121,1000141,52,Orthorhombic,2
122,1000142,52,Orthorhombic,2
123,1000143,14,Monoclinic,1
124,1000144,15,Monoclinic,1
125,1000145,8,Monoclinic,1
126,1000146,11,Monoclinic,1
127,1000147,11,Monoclinic,1
128,1000148,14,Monoclinic,1
129,1000149,14,Monoclinic,1
130,1000150,62,Orthorhombic,2
131,1000151,62,Orthorhombic,2
132,1000152,62,Orthorhombic,2
133,1000153,62,Orthorhombic,2
134,1000154,62,Orthorhombic,2
135,1000155,186,Hexagonal,5
136,1000156,186,Hexagonal,5
137,1000157,150,Trigonal,4
138,1000158,15,Monoclinic,1
139,1000159,15,Monoclinic,1
140,1000160,15,Monoclinic,1
141,1000161,62,Orthorhombic,2
142,1000162,32,Orthorhombic,2
143,1000163,227,Cubic,6
144,1000164,166,Trigonal,4
145,1000165,166,Trigonal,4
146,1000166,127,Tetragonal,3
147,1000167,136,Tetragonal,3
148,1000168,12,Monoclinic,1
149,1000169,227,Cubic,6
150,1000170,227,Cubic,6
151,1000171,227,Cubic,6
152,1000172,227,Cubic,6
153,1000173,227,Cubic,6
154,1000174,62,Orthorhombic,2
155,1000175,120,Tetragonal,3
156,1000176,230,Cubic,6
157,1000177,230,Cubic,6
158,1000178,136,Tetragonal,3
159,1000180,62,Orthorhombic,2
160,1000181,108,Tetragonal,3
161,1000182,140,Tetragonal,3
162,1000183,135,Tetragonal,3
163,1000184,150,Trigonal,4
164,1000185,150,Trigonal,4
165,1000186,150,Trigonal,4
166,1000187,63,Orthorhombic,2
167,1000188,30,Orthorhombic,2
168,1000190,204,Cubic,6
169,1000191,13,Monoclinic,1
170,1000192,13,Monoclinic,1
171,1000193,12,Monoclinic,1
172,1000194,28,Orthorhombic,2
173,1000196,186,Hexagonal,5
174,1000197,62,Orthorhombic,2
175,1000198,123,Tetragonal,3
176,1000199,120,Tetragonal,3
177,1000200,63,Orthorhombic,2
178,1000201,14,Monoclinic,1
179,1000202,55,Orthorhombic,2
180,1000204,14,Monoclinic,1
181,1000205,14,Monoclinic,1
182,1000206,62,Orthorhombic,2
183,1000207,127,Tetragonal,3
184,1000208,11,Monoclinic,1
185,1000209,230,Cubic,6
186,1000210,230,Cubic,6
187,1000211,230,Cubic,6
