row,space_group,split,split_id
0,14,train,0
1,14,test,2
2,14,train,0
3,2,train,0
4,14,train,0
5,19,val,1
6,15,train,0
7,15,train,0
8,15,train,0
9,15,train,0
10,15,train,0
11,15,train,0
12,15,train,0
13,15,train,0
14,15,train,0
15,15,train,0
16,2,train,0
17,14,train,0
18,14,test,2
19,14,train,0
20,62,train,0
21,2,test,2
22,36,train,0
23,63,train,0
24,218,train,0
25,159,train,0
26,47,train,0
27,65,train,0
28,62,train,0
29,2,train,0
30,15,train,0
31,9,test,2
32,62,train,0
33,12,train,0
34,205,val,1
35,46,train,0
36,15,train,0
37,12,train,0
38,61,train,0
39,113,train,0
40,194,train,0
41,155,train,0
42,74,train,0
43,63,train,0
44,14,train,0
45,62,test,2
46,47,train,0
47,60,train,0
48,113,train,0
49,113,train,0
50,161,train,0
51,71,train,0
52,2,val,1
53,68,test,2
54,68,train,0
55,129,train,0
56,86,val,1
57,63,train,0
58,63,train,0
59,61,train,0
60,61,train,0
61,61,test,2
62,5,val,1
63,14,test,2
64,14,test,2
65,63,test,2
66,227,train,0
67,227,train,0
68,14,val,1
69,14,train,0
70,60,train,0
71,87,train,0
72,12,train,0
73,59,test,2
74,2,train,0
75,62,train,0
76,203,train,0
77,62,train,0
78,33,test,2
79,61,train,0
80,189,train,0
81,14,train,0
82,14,train,0
83,20,train,0
84,30,val,1
85,14,train,0
86,120,val,1
87,62,val,1
88,62,train,0
89,55,val,1
90,129,train,0
91,12,train,0
92,62,val,1
93,29,train,0
94,164,train,0
95,186,val,1
96,12,test,2
97,12,train,0
98,15,test,2
99,15,train,0
100,15,test,2
101,15,train,0
102,14,train,0
103,91,train,0
104,2,val,1
105,127,train,0
106,127,train,0
107,127,train,0
108,14,train,0
109,19,train,0
110,14,train,0
111,4,train,0
112,15,train,0
113,61,train,0
114,176,train,0
115,18,val,1
116,19,train,0
117,12,train,0
118,12,train,0
119,11,train,0
120,4,test,2
121,52,val,1
122,52,train,0
123,14,train,0
124,15,train,0
125,8,test,2
126,11,train,0
127,11,train,0
128,14,train,0
129,14,test,2
130,62,test,2
131,62,train,0
132,62,val,1
133,62,train,0
134,62,train,0
135,186,train,0
136,186,train,0
137,150,train,0
138,15,train,0
139,15,train,0
140,15,train,0
141,62,train,0
142,32,train,0
143,227,train,0
144,166,train,0
145,166,train,0
146,127,train,0
147,136,train,0
148,12,train,0
149,227,val,1
150,227,train,0
151,227,train,0
152,227,train,0
153,227,train,0
154,62,test,2
155,120,train,0
156,230,train,0
157,230,val,1
158,136,train,0
159,62,train,0
160,108,train,0
161,140,train,0
162,135,train,0
163,150,train,0
164,150,train,0
165,150,train,0
166,63,train,0
167,30,train,0
168,204,train,0
169,13,train,0
170,13,train,0
171,12,train,0
172,28,train,0
173,186,train,0
174,62,train,0
175,123,val,1
176,120,train,0
177,63,train,0
178,14,test,2
179,55,train,0
180,14,train,0
181,14,train,0
182,62,train,0
183,127,train,0
184,11,train,0
185,230,test,2
186,230,train,0
187,230,val,1
188,230,train,0
189,230,train,0
190,2,train,0
191,15,train,0
192,9,val,1
193,12,train,0
194,65,train,0
195,14,train,0
196,12,train,0
197,123,val,1
198,123,train,0
199,65,train,0
200,30,train,0
201,60,train,0
202,12,train,0
203,74,train,0
204,163,train,0
205,44,train,0
206,44,test,2
207,15,train,0
208,99,train,0
209,47,train,0
210,60,train,0
211,199,train,0
212,74,test,2
213,63,train,0
214,102,train,0
215,227,train,0
216,227,train,0
217,127,train,0
218,2,train,0
219,2,train,0
220,74,train,0
221,2,train,0
222,2,train,0
223,139,train,0
224,74,test,2
225,15,train,0
226,11,train,0
227,13,train,0
228,11,val,1
